Sl. No.,State/UT,Number of FICN Seized,Total Value (In Rs.),Total number of case/Number of Complaints lodged
1,Andhra Pradesh,40000,37085600,30
2,Arunachal Pradesh,0,0,0
3,Assam,1775,1217850,12
4,Bihar,2243,843500,17
5,Chhattisgarh,1116,997650,11
6,Goa,0,0,0
7,Gujarat,44580,37744010,82
8,Haryana,593,103200,2
9,Himachal Pradesh,0,0,2
10,Jammu and Kashmir,1811,482500,5
11,Jharkhand,0,0,0
12,Karnataka,26800,47826150,30
13,Kerala,6802,8343700,29
14,Madhya Pradesh,3517,1742100,18
15,Maharashtra,24245,19218450,71
16,Manipur,0,0,0
17,Meghalaya,0,0,0
18,Mizoram,5492,6742000,5
19,Nagaland,0,0,0
20,Odisha,0,0,0
21,Punjab,9646,6030300,23
22,Rajasthan,7983,6165650,54
23,Sikkim,0,0,0
24,Tamil Nadu,12699,9459860,69
25,Telangana,310,81900,12
26,Tripura,31,26600,3
27,Uttar Pradesh,12976,7767810,77
28,Uttarakhand,20,10200,14
29,West Bengal,24037,31743450,217
National Investigation Agency,National Investigation Agency,316,158000,5
Total States,Total States,226992,223790480,788
1,Andaman and Nicobar Islands,0,0,0
2,Chandigarh,0,0,0
3,Dadra and Nagar Haveli,0,0,0
4,Daman and Diu,0,0,0
5,Delhi,60384,30105950,45
6,Lakshadweep,9,10800,1
7,Puducherry,19,1900,1
Total UT,Total UT,60412,30118650,47
Total (All India),Total (All India),287404,253909130,835
